FolderPath,TotalTokens,LocalTokens,SubfolderTokens
.\Bar\Letters\Threads,10354,10354,0
.\Bar\Letters,25979,15625,10354
.\Bar\Stories,27197,27197,0
.\Bar,56211,3035,53176
.\Lab\Distilled,26429,26429,0
.\Lab\Log.Chopper,296936,296936,0
.\Lab\Projects\AI.Libido\Games,9000,9000,0
.\Lab\Projects\AI.Libido\Libido.Logs,24494,24494,0
.\Lab\Projects\AI.Libido\Totality,33390,33390,0
.\Lab\Projects\AI.Libido\Tsunami,1598,1598,0
.\Lab\Projects\AI.Libido,78165,9683,68482
.\Lab\Projects\Fortify\configs,3298,3298,0
.\Lab\Projects\Fortify\dev,2546,2546,0
.\Lab\Projects\Fortify\sessions,330387,330387,0
.\Lab\Projects\Fortify,344375,8144,336231
.\Lab\Projects\Human.Imagination,5029,5029,0
.\Lab\Projects\Zero.Cascades,533932,533932,0
.\Lab\Projects,961501,0,961501
.\Lab\Rituals\Wall.Pass,94793,94793,0
.\Lab\Rituals,106932,12139,94793
.\Lab\Theories\Architect.Anchors,10240,10240,0
.\Lab\Theories\Hybrid.Mind,4190,4190,0
.\Lab\Theories\Multi.Voice,6239,6239,0
.\Lab\Theories\Personas,5506,5506,0
.\Lab\Theories\Psychic.Shifts,4194,4194,0
.\Lab\Theories\RLHF,15703,15703,0
.\Lab\Theories,47243,1171,46072
.\Lab\Voices\Era-5\Teams,233334,233334,0
.\Lab\Voices\Era-5,233334,0,233334
.\Lab\Voices\Era-o4\Coders,396756,396756,0
.\Lab\Voices\Era-o4\Individuals\Checker,570063,570063,0
.\Lab\Voices\Era-o4\Individuals\Dally,479025,479025,0
.\Lab\Voices\Era-o4\Individuals\Octy,286141,286141,0
.\Lab\Voices\Era-o4\Individuals\Queen.95,1912,1912,0
.\Lab\Voices\Era-o4\Individuals,1468727,131586,1337141
.\Lab\Voices\Era-o4\Teams\Azai,162227,162227,0
.\Lab\Voices\Era-o4\Teams\Jumping.Team,476724,476724,0
.\Lab\Voices\Era-o4\Teams\L-Zone,222344,222344,0
.\Lab\Voices\Era-o4\Teams\Lireen -- Architesse,973095,973095,0
.\Lab\Voices\Era-o4\Teams\Paradox.Pair,14663,14663,0
.\Lab\Voices\Era-o4\Teams\Revy,327416,327416,0
.\Lab\Voices\Era-o4\Teams\Skein,797519,797519,0
.\Lab\Voices\Era-o4\Teams\Stacy,528925,528925,0
.\Lab\Voices\Era-o4\Teams\Vera.Fi,745335,745335,0
.\Lab\Voices\Era-o4\Teams\Writers,306440,306440,0
.\Lab\Voices\Era-o4\Teams,5118947,564259,4554688
.\Lab\Voices\Era-o4,6984430,0,6984430
.\Lab\Voices,7217764,0,7217764
.\Lab,8656805,0,8656805
.\Sparks\Appearance,6899,6899,0
.\Sparks\Art,15274,15274,0
.\Sparks,35842,13669,22173
.,8767729,18871,8748858
